YYYY/MM/DD_HH:MM:SS,Block Position [ft],Surface Rotation [rpm],Flow In [gpm],Hook Load [klb],Bit Depth [ft],ROP [fph],Activity
2021-02-08 04:30:00+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:01+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:02+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:03+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:04+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:05+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:06+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:07+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:08+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:09+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:10+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:11+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:12+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:13+00:00,167.2,0.03,0.0,56.8,98.9,0.0,
2021-02-08 04:30:14+00:00,167.2,0.03,87.24,56.8,98.9,0.0,
2021-02-08 04:30:15+00:00,167.2,0.03,99.41,56.8,98.9,0.0,
2021-02-08 04:30:16+00:00,167.2,0.03,112.6,56.8,98.9,0.0,
2021-02-08 04:30:17+00:00,167.2,0.03,118.68,56.8,98.9,0.0,
2021-02-08 04:30:18+00:00,167.2,0.03,118.68,56.8,98.9,0.0,
2021-02-08 04:30:19+00:00,167.2,0.03,114.63,56.8,98.9,0.0,
2021-02-08 04:30:20+00:00,167.2,0.03,108.54,56.8,98.9,0.0,
2021-02-08 04:30:21+00:00,167.2,0.03,104.48,56.8,98.9,0.0,
2021-02-08 04:30:22+00:00,167.2,0.03,95.35,56.8,98.9,0.0,
2021-02-08 04:30:23+00:00,167.2,0.03,91.3,56.8,98.9,0.0,
2021-02-08 04:30:24+00:00,167.2,0.03,86.22,56.8,98.9,0.0,
2021-02-08 04:30:25+00:00,167.2,0.03,87.24,56.8,98.9,0.0,
2021-02-08 04:30:26+00:00,167.2,0.03,90.28,56.8,98.9,0.0,
2021-02-08 04:30:27+00:00,167.2,0.03,93.32,56.8,98.9,0.0,
2021-02-08 04:30:28+00:00,167.2,0.03,98.4,56.8,98.9,0.0,
2021-02-08 04:30:29+00:00,167.2,0.03,103.47,56.8,98.9,0.0,
2021-02-08 04:30:30+00:00,167.2,0.03,104.48,56.8,98.9,0.0,
2021-02-08 04:30:31+00:00,167.2,0.03,106.51,56.8,98.9,0.0,
2021-02-08 04:30:32+00:00,167.2,0.03,106.51,56.8,98.9,0.0,
2021-02-08 04:30:33+00:00,167.2,0.03,104.48,56.8,98.9,0.0,
2021-02-08 04:30:34+00:00,167.2,0.03,104.48,56.8,98.9,0.0,
2021-02-08 04:30:35+00:00,167.2,0.03,102.45,56.8,98.9,0.0,
2021-02-08 04:30:36+00:00,167.2,0.03,101.44,56.8,98.9,0.0,
2021-02-08 04:30:37+00:00,167.2,0.03,101.44,56.8,98.9,0.0,
2021-02-08 04:30:38+00:00,167.2,0.03,107.53,56.8,98.9,0.0,
2021-02-08 04:30:39+00:00,167.2,0.03,119.7,56.8,98.9,0.0,115
2021-02-08 04:30:40+00:00,167.2,0.03,127.81,56.8,98.9,0.0,115
2021-02-08 04:30:41+00:00,167.2,0.03,135.93,56.8,98.9,0.0,115
2021-02-08 04:30:42+00:00,167.2,0.03,137.96,56.8,98.9,0.0,115
2021-02-08 04:30:43+00:00,167.2,0.03,136.94,56.8,98.9,0.0,115
2021-02-08 04:30:44+00:00,167.2,0.03,133.9,56.8,98.9,0.0,115
2021-02-08 04:30:45+00:00,167.2,0.03,129.84,56.8,98.9,0.0,115
2021-02-08 04:30:46+00:00,167.2,0.03,126.8,56.8,98.9,0.0,115
2021-02-08 04:30:47+00:00,167.2,0.03,122.74,56.8,98.9,0.0,115
2021-02-08 04:30:48+00:00,167.2,0.03,121.73,56.8,98.9,0.0,115
2021-02-08 04:30:49+00:00,167.2,0.03,121.73,56.8,98.9,0.0,115
2021-02-08 04:30:50+00:00,167.2,0.03,122.74,56.8,98.9,0.0,115
2021-02-08 04:30:51+00:00,167.2,0.03,124.77,56.8,98.9,0.0,115
2021-02-08 04:30:52+00:00,167.2,0.03,126.8,56.8,98.9,0.0,115
2021-02-08 04:30:53+00:00,167.2,0.03,127.81,56.8,98.9,0.0,115
2021-02-08 04:30:54+00:00,167.2,0.03,129.84,56.8,98.9,0.0,115
2021-02-08 04:30:55+00:00,167.2,0.03,130.86,56.8,98.9,0.0,115
2021-02-08 04:30:56+00:00,167.2,0.03,132.89,56.8,98.9,0.0,115
2021-02-08 04:30:57+00:00,167.2,0.03,137.96,56.8,98.9,0.0,115
2021-02-08 04:30:58+00:00,167.2,0.03,141.0,56.8,98.9,0.0,115
2021-02-08 04:30:59+00:00,167.2,0.03,144.04,56.8,98.9,0.0,115
2021-02-08 04:31:00+00:00,167.2,0.03,146.07,56.8,98.9,0.0,115
2021-02-08 04:31:01+00:00,167.2,0.03,146.07,56.8,98.9,0.0,115
2021-02-08 04:31:02+00:00,167.2,0.03,145.06,56.8,98.9,0.0,115
2021-02-08 04:31:03+00:00,167.2,0.03,142.02,56.8,98.9,0.0,115
2021-02-08 04:31:04+00:00,167.2,0.03,141.0,56.8,98.9,0.0,115
2021-02-08 04:31:05+00:00,167.2,0.03,138.97,56.8,98.9,0.0,115
2021-02-08 04:31:06+00:00,167.2,0.03,139.99,56.8,98.9,0.0,115
2021-02-08 04:31:07+00:00,167.2,0.03,142.02,56.8,98.9,0.0,115
2021-02-08 04:31:08+00:00,167.2,0.03,143.03,56.8,98.9,0.0,115
2021-02-08 04:31:09+00:00,167.2,0.03,145.06,56.8,98.9,0.0,115
2021-02-08 04:31:10+00:00,167.2,0.03,146.07,56.8,98.9,0.0,115
2021-02-08 04:31:11+00:00,167.2,0.03,148.1,56.8,98.9,0.0,115
2021-02-08 04:31:12+00:00,167.2,0.03,148.1,56.8,98.9,0.0,115
2021-02-08 04:31:13+00:00,167.2,0.03,147.09,56.8,98.9,0.0,115
2021-02-08 04:31:14+00:00,167.2,0.03,146.07,56.8,98.9,0.0,115
2021-02-08 04:31:15+00:00,167.2,0.03,146.07,56.8,98.9,0.0,115
2021-02-08 04:31:16+00:00,167.2,0.03,145.06,56.8,98.9,0.0,115
2021-02-08 04:31:17+00:00,167.2,0.03,146.07,56.8,98.9,0.0,115
2021-02-08 04:31:18+00:00,167.2,0.03,152.16,56.8,98.9,0.0,115
2021-02-08 04:31:19+00:00,167.2,0.03,158.25,56.8,98.9,0.0,115
